,Name,Gender,Age,Ethnicity,Family_Status,Number_Caretakers,State_Caretakers,Number_Siblings,Order_Among_Siblings,State_Residence,Country,State_Country,State,State_State,State_School,State_Teachers,State_Classmates,Academic_Level,Grade,Academic_Passion,Years_Failed,Commute_Distance,Commute_Method,Commute_Duration,State_Commute,Work,Work_Type,State_Work,Dropout
29,Maria Singh,female,61,Asian,biological family,4,4,3,1,9,New Zealand,9.277000000000001,Nelson,3,10,6,4,C+,2,3,1,17.0,motorbike,102,10,False,,,True
30,Mestan Orbay,female,36,White,Abandonned,5,1,2,2,10,Turkey,6.948,Kayseri,6,9,5,3,A,L2,3,3,3.3,bus,32,3,True,repetitive labour,1,False
31,سهیل سلطانی نژاد,male,35,Black,Abandonned,3,5,3,3,5,Iran,4.721,اردبیل,3,3,8,9,D+,1,8,0,4.5,walking,270,10,True,hobby,6,True
32,Oscar Jensen,male,24,Arab,Adopted,2,4,2,2,6,Denmark,7.62,Midtjylland,7,4,3,10,C+,1,7,3,4.2,motorbike,25,6,True,repetitive labour,6,True
33,Willard Hunt,male,60,White,biological family,5,10,1,1,2,United States,4.951,Pennsylvania,4,1,9,3,C−,6,7,3,10.4,walking,624,3,False,,,False
34,Lumi Mikkola,female,56,Arab,extended family,2,1,4,3,4,Finland,9.841999999999999,Central Ostrobothnia,7,7,8,7,D,3,5,0,2.9,metro,43,6,False,,,False
35,Emily Barnaby,female,74,White,Adopted,5,2,2,1,3,Canada,7.103,Ontario,5,3,4,5,A+,9,8,2,12.8,car,76,7,False,,,False
36,Maximino Zamora,male,64,Asian,step family,1,7,3,2,6,Mexico,8.317,Aguascalientes,2,4,5,4,C−,12,9,0,6.3,bicycle,63,3,True,craftsmanship,6,False
37,Iepistimiya Hodimchuk,female,37,Black,extended family,5,8,4,3,5,Ukraine,4.875,Kiyivska,1,4,1,1,A,12,8,2,4.6,walking,276,5,False,,,False
38,Jasmine Gill,female,49,Arab,step family,4,1,4,4,6,Canada,8.103,Yukon,4,6,2,3,A,14,10,1,10.1,bicycle,101,2,False,,,True
39,Magadar Stobenskiy,male,60,Asian,step family,1,1,1,1,6,Ukraine,2.875,Kiyivska,1,3,3,10,C−,5,4,0,9.8,car,58,4,True,family business,7,False
40,Vlastimir Cvejić,male,40,Arab,extended family,3,6,4,4,1,Serbia,6.078,Raška,4,6,4,8,C+,M1,6,3,9.2,bus,92,3,True,craftsmanship,4,False
41,Čedomir Ćirković,male,61,Black,Abandonned,3,9,3,2,1,Serbia,6.078,Rasina,3,4,10,2,D−,9,4,2,11.6,motorbike,69,8,False,,,True
42,Olimpiada Krotevich,female,38,White,Adopted,2,2,1,1,1,Ukraine,5.875,Kiyivska,4,8,4,10,C+,10,10,2,6.8,car,40,10,False,,,True
43,Nalan Akyüz,female,30,Arab,biological family,3,1,2,1,10,Turkey,2.9480000000000004,Antalya,2,4,7,5,D+,7,5,0,3.3,motorbike,19,7,True,repetitive labour,1,False
44,Marie Olsen,female,32,Arab,extended family,3,8,4,4,7,Denmark,9.620000000000001,Nordjylland,8,10,2,6,A+,8,8,2,1.3,train,11,3,True,hobby,6,True
45,Francis Pierce,male,52,Hispanic,biological family,5,5,2,1,6,Australia,8.183,Australian Capital Territory,6,10,5,10,C+,10,4,2,3.5,bus,35,8,True,hobby,6,True
46,Gail Davidson,female,42,Hispanic,Abandonned,2,1,4,3,6,Australia,6.183,Northern Territory,6,7,4,8,B+,9,9,1,6.8,taxi,45,10,False,,,True
47,Virodar Chichka,male,40,White,step family,2,2,4,4,1,Ukraine,6.875,Luganska,4,10,9,9,F,1,8,3,9.2,taxi,61,2,False,,,False
48,Archana Fernandes,female,58,Hispanic,Abandonned,3,10,1,1,1,India,4.819,Uttarakhand,1,5,9,4,A,M1,7,3,3.5,walking,210,7,True,craftsmanship,7,True
49,Laura Morin,female,37,Arab,Abandonned,5,9,1,1,8,Switzerland,9.571,Schaffhausen,7,2,10,8,A−,L1,1,2,14.3,car,85,3,False,,,True
50,Aquira Sales,male,74,Asian,step family,1,10,1,1,6,Brazil,8.33,Distrito Federal,1,7,7,3,D−,9,1,0,2.0,motorbike,12,1,True,family business,10,True
51,Sigrid Diel,female,55,Hispanic,Abandonned,2,5,3,3,8,Germany,7.155,Berlin,4,10,1,7,B,2,3,3,18.0,taxi,120,1,False,,,False
52,Diane Jensen,female,58,Hispanic,biological family,4,4,3,2,8,Ireland,9.085,Leitrim,8,7,4,4,D,3,10,1,7.7,motorbike,46,9,True,craftsmanship,10,False
53,Lucas Murray,male,44,Hispanic,extended family,2,10,4,1,4,United States,4.951,California,4,2,7,4,C+,6,9,3,1.6,bicycle,16,7,False,,,True
54,Ronald Kelley,male,45,Black,Adopted,1,1,3,2,1,United Kingdom,7.064,Gwent,1,9,10,3,C,8,6,2,2.2,car,13,5,False,,,False
55,Livio Rolland,male,22,Asian,Adopted,3,2,3,1,1,France,8.690000000000001,Hautes-Pyrénées,4,2,6,2,F,13,5,1,0.5,car,3,5,False,,,False
56,Rebecca Schaal,female,75,White,Adopted,1,1,3,1,9,Germany,5.155,Bayern,3,7,9,6,C,L2,1,2,1.0,metro,15,5,True,family business,2,True
57,Laurie Cunningham,female,41,Asian,step family,1,8,3,1,5,United States,7.951,Maryland,3,4,5,6,D−,M2,3,2,14.9,walking,894,7,False,,,False
58,Mathys Fabre,male,57,Hispanic,step family,3,8,1,1,4,France,6.69,Loire-Atlantique,2,6,7,4,B,7,4,2,1.4,train,11,5,True,family business,9,False
59,Allie Wells,female,44,Asian,biological family,5,6,4,2,8,Ireland,7.085,Westmeath,3,3,10,1,B−,L3,9,2,9.2,taxi,61,9,False,,,False
60,Melinda Melo,female,26,Arab,biological family,1,1,2,1,5,Brazil,5.33,Pernambuco,3,2,1,6,D−,12,1,0,2.6,walking,156,8,False,,,False
61,Anna-Lena Back,female,31,Hispanic,Abandonned,1,5,2,2,9,Germany,5.155,Sachsen-Anhalt,3,9,8,5,A−,4,8,2,11.6,bicycle,116,10,True,hobby,9,True
62,Fatma Topaloğlu,female,22,Hispanic,Abandonned,4,5,3,1,4,Turkey,2.9480000000000004,Bitlis,1,5,9,2,B−,L1,2,2,1.9,train,16,4,True,craftsmanship,2,False
63,Jules Luijsterburg,male,52,Black,Abandonned,3,3,2,2,10,Netherlands,8.464,Flevoland,3,10,1,2,A+,12,4,2,11.0,metro,165,7,False,,,False
64,Viljami Kuusisto,male,36,Asian,Adopted,3,7,2,2,1,Finland,5.842,Kymenlaakso,4,8,7,9,D,11,2,1,0.7,bicycle,6,4,False,,,False
65,Emily Nielsen,female,43,Hispanic,step family,1,7,4,3,7,Denmark,7.62,Midtjylland,6,1,5,7,D−,7,6,3,6.2,bicycle,62,6,True,repetitive labour,6,False
66,Curtis Caldwell,male,35,White,Adopted,2,8,2,2,7,Australia,7.183,New South Wales,6,9,2,9,B,11,1,1,4.7,walking,282,8,True,repetitive labour,3,False
67,Thea Olsen,female,39,Hispanic,step family,1,3,4,3,3,Denmark,5.62,Midtjylland,2,10,4,10,F,14,7,2,7.4,walking,444,4,False,,,True
68,Camille Roy,female,60,Hispanic,biological family,2,6,4,1,8,Canada,8.103,Newfoundland and Labrador,5,4,1,1,A+,L2,8,1,4.4,metro,66,7,True,hobby,2,True
69,Leta Campbell,female,72,Black,step family,5,2,1,1,6,Australia,5.183,Tasmania,2,7,9,3,C,L2,2,3,4.7,walking,282,6,True,hobby,10,False
70,Türkan Brinker,female,66,White,Adopted,1,3,2,2,6,Germany,8.155000000000001,Saarland,4,9,5,5,D+,7,10,2,14.6,taxi,97,3,True,craftsmanship,4,False
71,Benjamin Thomsen,male,23,White,step family,5,1,1,1,8,Denmark,5.62,Nordjylland,2,6,7,9,B−,1,1,0,1.6,bus,16,4,True,craftsmanship,5,False
72,Pippa Taylor,female,25,Asian,extended family,1,9,3,2,3,New Zealand,9.277000000000001,Gisborne,1,1,8,10,A−,13,2,2,2.7,walking,162,8,True,craftsmanship,5,False
73,Levi Murphy,male,49,Black,Adopted,5,10,3,1,8,Australia,7.183,New South Wales,5,9,4,5,D−,6,4,1,5.4,bus,54,8,False,,,False
74,Umut Candan,male,33,Arab,extended family,3,7,3,1,10,Turkey,3.9480000000000004,Eskişehir,1,10,1,9,D−,10,3,3,20.0,metro,300,2,False,,,True
75,Valeria Rodić,female,55,White,Abandonned,5,5,3,3,6,Serbia,8.078,Peć,7,8,8,8,C−,11,8,1,12.5,metro,187,2,False,,,True
76,Vselyub Demchak,male,72,Asian,Abandonned,2,5,1,1,7,Ukraine,6.875,Lvivska,5,10,6,4,C+,L3,10,0,16.5,bicycle,165,4,True,craftsmanship,6,False
77,Nevaeh Jones,female,73,Hispanic,extended family,4,7,2,1,9,United States,4.951,North Carolina,1,5,9,10,A−,9,3,2,16.5,car,99,6,True,hobby,8,False
78,Dennis Caldwell,male,45,White,step family,4,5,4,4,10,Australia,5.183,South Australia,3,1,8,6,D−,10,1,2,17.5,car,105,6,False,,,True
79,سارینا رضایی,female,76,Asian,Abandonned,4,1,4,1,10,Iran,3.721,گیلان,1,1,4,9,C+,5,7,0,6.5,taxi,43,9,False,,,True
80,Sarah Coleman,female,58,Hispanic,Abandonned,1,3,2,2,5,Ireland,9.085,Dublin City,3,6,6,2,A+,7,4,2,0.7,taxi,4,8,True,craftsmanship,10,True
81,Joaquin Hidding,male,52,White,Adopted,1,1,2,1,7,Netherlands,9.464,Zuid-Holland,9,2,1,8,C+,12,2,0,5.9,train,50,1,False,,,False
82,Abbie Curtis,female,35,Asian,biological family,3,6,2,2,4,United Kingdom,6.064,Greater Manchester,6,4,3,7,D−,7,3,1,0.9,walking,54,4,True,family business,4,True
83,Theodor Sagbakken,male,77,Hispanic,biological family,4,10,3,2,5,Norway,9.392,Oppland,1,6,2,9,B−,8,2,2,2.2,bicycle,22,3,True,hobby,2,True
84,Wenseslao Villa,male,42,White,Abandonned,5,8,3,2,2,Mexico,5.317,San Luis Potosí,1,10,6,8,A+,4,1,2,20.0,bicycle,200,10,True,craftsmanship,3,True
85,Herman Ford,male,72,Hispanic,step family,5,5,2,2,6,United States,6.951,Georgia,1,5,4,3,D,L3,4,2,3.6,metro,54,5,False,,,False
86,Louise Hart,female,30,Hispanic,extended family,2,2,3,1,1,Australia,6.183,Tasmania,6,10,2,2,D−,2,3,2,15.5,motorbike,93,5,True,repetitive labour,6,True
87,Gene Sims,male,57,Black,step family,1,4,3,3,7,United States,5.951,North Carolina,2,6,4,1,A−,L3,4,1,4.2,metro,63,3,True,hobby,4,False
88,Curtis Dunne,male,29,Black,biological family,3,4,1,1,10,Ireland,5.085,Limerick,1,8,5,4,B−,5,1,1,1.3,metro,19,9,True,repetitive labour,7,True
89,Lidia Ibáñez,female,21,Arab,biological family,2,8,2,2,9,Spain,7.491,Castilla y León,5,9,2,8,C,2,7,0,0.7,metro,10,3,False,,,True
90,Jean Gibson,female,52,White,Abandonned,5,5,4,3,4,Australia,5.183,Tasmania,5,4,5,2,D,2,3,0,6.1,bicycle,61,6,True,hobby,2,False
91,Justine Lemoine,female,69,White,Adopted,2,5,2,1,9,France,7.69,Gers,3,4,9,10,B,L3,9,0,16.0,bus,160,3,False,,,False
92,نیایش کریمی,female,40,Black,biological family,4,6,1,1,5,Iran,5.721,کرمانشاه,5,2,8,5,C,M1,5,3,20.5,bus,205,3,True,family business,1,True
93,Milica Kićanović,female,67,Arab,extended family,4,5,3,3,7,Serbia,7.078,Braničevo,6,8,9,7,C−,9,4,0,1.2,bus,11,4,False,,,False
94,Isabelle Evans,female,75,Black,Abandonned,5,1,2,2,9,Ireland,5.085,Wexford,2,7,1,7,D,9,10,0,3.9,motorbike,23,5,True,hobby,8,True
95,Connie Price,female,59,Arab,Abandonned,5,3,4,1,9,Australia,7.183,Western Australia,2,10,8,3,D−,L3,5,0,2.9,car,17,10,False,,,False
96,Zachary Morales,male,60,Asian,Abandonned,2,1,1,1,7,United Kingdom,5.064,Mid Glamorgan,2,8,6,7,B+,12,9,3,1.5,car,9,3,True,craftsmanship,10,False
97,Cristobal Paredes,male,62,White,step family,2,2,1,1,2,Mexico,4.317,Coahuila,4,7,8,6,C+,7,9,3,19.0,metro,285,7,True,family business,4,False
98,Phoebe Rhodes,female,30,Black,step family,4,3,4,2,8,United Kingdom,8.064,County Fermanagh,6,7,5,6,D,5,10,1,14.9,motorbike,89,9,False,,,False
99,Austin Watkins,male,38,Arab,Adopted,5,8,3,2,1,United States,8.951,Washington,6,8,4,5,C,13,9,3,6.3,bicycle,63,1,True,repetitive labour,10,False
100,Romeo Fabre,male,56,Asian,step family,1,10,3,1,3,Switzerland,6.571,Appenzell Innerrhoden,6,7,2,8,A,4,8,2,5.3,car,31,3,True,repetitive labour,8,True
101,بیتا پارسا,female,35,Hispanic,biological family,1,7,1,1,7,Iran,2.721,فارس,2,4,9,9,B−,M2,5,1,8.0,taxi,53,10,True,craftsmanship,9,True
102,Joanikije Jakovljević,male,26,Black,biological family,2,10,4,3,4,Serbia,6.078,Mačva,2,8,5,7,B+,9,3,1,16.0,walking,960,2,True,hobby,6,False
103,Beatrice Roche,female,32,White,step family,1,5,1,1,7,Switzerland,6.571,Luzern,3,7,5,7,B,L1,4,1,3.0,metro,45,2,False,,,False
104,Dorogosil Stasyuk,male,62,Black,step family,2,5,1,1,1,Ukraine,3.875,Donecka,1,8,9,6,B,3,10,3,11.9,car,71,6,False,,,False
105,Anja Kaltenbach,female,64,Arab,Abandonned,5,4,1,1,4,Germany,9.155000000000001,Saarland,8,7,2,7,B+,14,9,3,1.1,car,6,7,True,family business,2,False
106,Paige Moore,female,47,White,step family,1,5,3,2,5,New Zealand,7.277,Bay of Plenty,4,5,10,7,C,12,4,2,3.5,taxi,23,6,True,craftsmanship,9,True
107,حسین رضاییان,male,54,Asian,biological family,5,2,2,1,1,Iran,4.721,چهارمحال و بختیاری,2,6,10,9,F,3,10,2,6.2,motorbike,37,8,True,family business,3,True
108,Christian Jørgensen,male,60,White,Abandonned,2,1,1,1,2,Denmark,6.62,Hovedstaden,4,3,8,2,B,14,2,1,10.7,train,91,8,False,,,True
109,Pinja Rautio,female,34,Asian,Adopted,1,1,4,1,10,Finland,7.842,Central Ostrobothnia,7,5,4,7,D+,M2,5,1,1.4,metro,21,1,True,craftsmanship,8,True
110,Roman Wang,male,70,Arab,extended family,2,4,4,3,9,New Zealand,9.277000000000001,Canterbury,1,5,2,7,C,12,8,2,3.4,walking,204,5,True,repetitive labour,5,True
111,Rosalie Carstensen,female,43,White,Abandonned,5,10,4,4,10,Germany,7.155,Rheinland-Pfalz,2,5,10,6,A−,7,4,1,1.3,bicycle,13,5,False,,,False
112,Susanne Morin,female,56,Hispanic,step family,5,8,1,1,7,Switzerland,5.571,Nidwalden,5,8,4,4,D−,3,7,2,4.5,walking,270,4,False,,,True
113,Harper Brown,female,45,Asian,Adopted,5,8,4,2,4,New Zealand,5.277,Hawke'S Bay,2,8,4,3,D,13,2,3,5.9,metro,88,9,True,hobby,4,False
114,Mehmet Aşıkoğlu,male,76,Hispanic,extended family,1,10,2,1,3,Turkey,4.948,Uşak,3,7,2,9,A+,M2,10,1,4.6,walking,276,8,False,,,False
115,Felizitas Ortner,female,50,Black,Adopted,3,7,1,1,8,Germany,6.155,Baden-Württemberg,3,2,2,7,C,9,2,3,9.8,metro,147,1,False,,,False
116,Sharon Robinson,female,40,White,step family,4,7,1,1,5,United Kingdom,9.064,Cornwall,9,8,4,9,F,4,3,2,24.0,walking,1440,2,True,repetitive labour,5,True
117,Victoria Freeman,female,49,Asian,Abandonned,3,4,2,1,8,United Kingdom,7.064,Cornwall,1,6,3,3,B+,13,2,0,6.4,train,54,4,False,,,True
118,Aubrey Carroll,female,51,Hispanic,Abandonned,1,10,4,4,6,Australia,5.183,Western Australia,3,8,2,7,D,7,4,0,3.5,motorbike,21,5,False,,,False
119,Anthony Williams,male,42,Asian,biological family,5,10,4,4,1,Canada,8.103,Manitoba,6,5,9,2,C−,M2,5,3,3.4,car,20,2,True,hobby,1,True
120,Mostafa Hjelvik,male,40,Asian,extended family,4,10,4,4,5,Norway,9.392,Vestfold,5,8,8,6,C−,2,4,1,3.5,bicycle,35,4,False,,,True
121,Andreias Gomes,male,52,Arab,step family,2,3,3,3,8,Brazil,4.33,Maranhão,1,6,2,5,A,5,1,1,5.8,walking,348,1,False,,,False
122,Tobias Madsen,male,69,Asian,step family,4,9,3,1,6,Denmark,8.620000000000001,Nordjylland,3,8,3,9,B+,1,10,0,24.5,train,210,2,False,,,True
123,Noémie Park,female,45,Black,extended family,3,9,1,1,3,Canada,5.103,Manitoba,4,7,9,10,A+,7,4,3,14.6,bicycle,146,2,False,,,True
124,Rinesh Keeris,male,46,Hispanic,biological family,3,4,2,1,4,Netherlands,9.464,Zuid-Holland,3,9,2,8,C,4,3,0,6.2,car,37,5,True,craftsmanship,5,True
125,Jorge Arguello,male,23,Asian,Abandonned,1,6,1,1,9,Mexico,6.317,Sonora,5,8,8,9,A,L2,2,2,14.3,bus,143,4,False,,,False
126,Oya Koç,female,60,Hispanic,step family,3,4,2,1,9,Turkey,3.9480000000000004,Edirne,1,7,10,3,F,3,8,2,2.9,car,17,9,False,,,False
127,Martinus Engvik,male,60,Arab,Adopted,2,3,1,1,5,Norway,7.392,Akershus,1,8,2,2,A−,1,2,1,18.0,bus,180,4,True,hobby,2,False
128,Renate Giraud,female,57,White,Abandonned,2,8,1,1,7,Switzerland,7.571,Appenzell Ausserrhoden,7,10,9,7,C−,5,5,3,4.5,bicycle,45,5,True,craftsmanship,10,False
129,Revun Lukach,male,63,Arab,biological family,5,4,3,1,2,Ukraine,2.875,Rivnenska,2,8,4,4,D+,2,7,3,19.5,bus,195,7,True,hobby,3,False
130,Mahdi Tveten,male,46,Arab,biological family,2,5,3,2,6,Norway,9.392,Oppland,6,9,4,5,F,5,9,3,16.5,car,99,10,False,,,False
131,Danica Babić,female,24,White,biological family,1,4,4,1,4,Serbia,7.078,Raška,5,1,5,9,C,10,1,3,14.9,bicycle,149,3,False,,,True
132,Tracy Martinez,female,23,Black,Abandonned,1,5,4,4,2,Ireland,9.085,Wicklow,7,10,1,2,D,14,7,1,11.6,walking,696,5,False,,,False
133,Selma Drabløs,female,67,Black,extended family,1,3,3,1,2,Norway,6.392,Description,3,4,2,8,F,6,1,2,2.6,bicycle,26,7,False,,,False
134,Deniz Koçoğlu,male,25,White,Adopted,2,3,1,1,5,Turkey,6.948,Van,5,6,1,6,A,6,2,1,22.0,metro,330,6,False,,,False
135,Driesje Beugelsdijk,female,65,Arab,Adopted,2,3,1,1,5,Netherlands,6.464,Drenthe,6,6,5,1,D−,L1,2,1,1.8,walking,108,10,True,craftsmanship,6,True
136,Velimir Ristović,male,75,Arab,Abandonned,5,1,2,1,10,Serbia,4.078,Braničevo,4,8,5,1,B,6,5,1,0.8,train,6,4,False,,,False
137,Joel Niska,male,77,Arab,extended family,2,3,4,3,1,Finland,6.842,Tavastia Proper,1,8,9,6,A+,11,7,1,5.3,bus,53,1,True,hobby,10,False
138,Stanley Campbell,male,53,Asian,extended family,4,2,1,1,9,United Kingdom,6.064,Warwickshire,4,6,8,2,B,L3,2,0,5.3,metro,79,5,True,family business,4,True
139,Pascal Hilbig,male,38,Asian,Abandonned,4,1,2,2,1,Germany,5.155,Rheinland-Pfalz,3,1,4,1,C+,6,3,0,1.7,bus,17,3,False,,,True
140,Henry Ward,male,61,Arab,Abandonned,1,3,2,1,9,United Kingdom,8.064,Durham,2,3,2,8,A+,L3,6,1,22.5,taxi,150,6,False,,,True
141,Celia Parra,female,48,Hispanic,Abandonned,2,8,3,1,3,Spain,5.491,País Vasco,1,1,1,3,D,7,6,0,8.9,car,53,7,True,repetitive labour,2,True
142,Gordon Holt,male,57,Asian,Abandonned,5,6,4,3,9,United States,4.951,South Dakota,2,5,9,8,D−,5,8,1,4.0,bus,40,8,False,,,True
143,Amy Fortin,female,72,Arab,step family,4,10,4,3,2,Canada,9.103,Prince Edward Island,2,10,6,3,D+,3,1,2,4.0,car,24,4,True,repetitive labour,1,True
144,Leanne Gill,female,50,White,extended family,4,6,1,1,7,Canada,5.103,Prince Edward Island,5,5,6,10,A+,6,9,0,16.5,motorbike,99,8,True,craftsmanship,1,False
145,Sebastian Mendoza,male,35,Arab,extended family,2,7,1,1,1,United States,7.951,Indiana,1,5,8,5,C,L2,8,2,6.1,bicycle,61,9,True,craftsmanship,2,False
146,Leonora Kind,female,73,Hispanic,Adopted,2,4,4,2,5,Norway,5.392,Vest-Agder,2,2,4,8,C,L2,10,1,2.2,walking,132,4,True,craftsmanship,8,False
147,Alison Lowe,female,65,Black,Abandonned,4,5,1,1,3,United Kingdom,9.064,Strathclyde,5,1,3,4,F,12,9,0,4.8,train,41,8,True,craftsmanship,6,True
148,Reginald Burton,male,30,Black,Adopted,5,6,4,2,3,United Kingdom,8.064,Merseyside,1,5,2,2,F,M2,10,3,0.5,car,3,2,False,,,False
149,Ridna Muzika,female,28,Black,Adopted,5,1,2,1,3,Ukraine,2.875,Ternopilska,1,3,6,7,B−,9,3,2,18.5,metro,277,2,True,craftsmanship,6,False
150,پارسا سلطانی نژاد,male,63,Asian,Adopted,5,5,3,1,2,Iran,6.721,سیستان و بلوچستان,1,4,8,2,D,13,2,0,12.5,bicycle,125,3,False,,,True
151,Katarina Spasojević,female,69,Hispanic,Adopted,2,6,4,1,9,Serbia,5.078,Bor,1,9,3,2,B−,3,8,2,10.1,walking,606,4,False,,,False
152,Leon Bell,male,42,Asian,biological family,5,8,2,1,10,Australia,6.183,Australian Capital Territory,5,5,8,4,A−,13,8,0,6.8,bus,68,4,False,,,False
153,Pedro Diez,male,51,Black,Adopted,3,5,4,3,1,Spain,4.491,Extremadura,3,6,1,1,C−,10,5,0,17.0,taxi,113,3,True,hobby,3,True
154,Jovana Radojičić,female,45,Hispanic,extended family,5,9,2,1,3,Serbia,6.078,Prizren,3,9,9,4,C+,9,4,2,13.1,train,112,2,True,craftsmanship,2,False
155,Micheal Allen,male,77,Asian,step family,4,1,1,1,9,United States,7.951,Nebraska,5,4,9,3,C−,M1,4,2,8.3,car,49,6,True,hobby,7,True
156,Trinidad Moya,female,76,Hispanic,Abandonned,4,4,3,3,2,Spain,4.491,Cataluña,4,3,8,4,D+,12,5,0,0.6,walking,36,2,False,,,False
157,Filippa Larsen,female,25,White,Adopted,2,7,2,1,4,Denmark,8.620000000000001,Syddanmark,6,8,10,2,F,4,6,2,3.8,bicycle,38,7,False,,,False
